SEC Region,Organization CRD#,SEC#,Firm Type,Primary Business Name,Legal Name,Main Office Street Address 1,Main Office Street Address 2,Main Office City,Main Office State,Main Office Country,Main Office Postal Code,Main Office Telephone Number,Main Office Facsimile Number,"Total number of offices, other than your Principal Office and place of business",Mail Office Street Address 1,Mail Office Street Address 2,Mail Office City,Mail Office State,Mail Office Country,Mail Office Postal Code,SEC Current Status,SEC Status Effective Date,Jurisdiction Notice Filed-Effective Date,Latest ADV Filing Date,Form Version,Website Address,1M,1N,1O,"1O - If yes, approx. amount of assets",1P,2B(1),2B(2),2B(3),3A,3A-Other,3B,3C-State,3C-Country,6A(1),6A(2),6A(3),6A(4),6A(5),6A(6),6A(7),6A(8),6A(9),6A(10),6A(11),6A(12),6A(13),6A(14),6A(14)-Other,6B(1),6B(2),6B(3),7A(1),7A(2),7A(3),7A(4),7A(5),7A(6),7A(7),7A(8),7A(9),7A(10),7A(11),7A(12),7A(13),7A(14),7A(15),7A(16),7B,10A,11,11A(1),11A(2),11B(1),11B(2),11C(1),11C(2),11C(3),11C(4),11C(5),11D(1),11D(2),11D(3),11D(4),11D(5),11E(1),11E(2),11E(3),11E(4),11F,11G,11H(1)(a),11H(1)(b),11H(1)(c),11H(2)
CHRO,165345,802-107565,ERA,MMF CAPITAL MANAGEMENT V LLC,MMF CAPITAL MANAGEMENT V LLC,55 WEST MONROE STREET,SUITE 3650,CHICAGO,IL,United States,60603,312-291-7300,312-345-0665,0,,,,,,,ERA - Active,3/28/2016,,3/28/2022,Oct-21,HTTP://WWW.MMFCAPITAL.COM,N,N,N,,,N,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,269928,802-101489,ERA,SIRIUS ASSET MANAGEMENT,OY SIRIUS ASSET MANAGEMENT AB,EROTTAJANKATU 5,,"HELSINKI, UUSIMAA",,Finland,130,358 50 5764422,,0,,,,,,,ERA - Active,7/6/2015,,3/31/2022,Oct-21,HTTP://WWW.SIRIUS.FI,N,N,N,,,N,Y,N,Limited Liability Company,,DECEMBER,,Finland,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,305204,802-117450,ERA,EQT PARTNERS S.R.L.,EQT PARTNERS S.R.L.,PASSAGGLO CENTRALE 2,,"MILAN, MILAN",,Italy,20123,3.93457E+11,,0,,,,,,,ERA - Active,9/6/2019,,3/31/2022,Oct-21,,N,N,N,,,N,Y,N,Other (specify),SOCIETA' A RESPONSABILITA' LIMITATA,DECEMBER,,Italy,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,302068,802-116884,ERA,EURAZEO FUNDS MANAGEMENT LUXEMBOURG,EURAZEO FUNDS MANAGEMENT LUXEMBOURG,"25C, BOULEVARD ROYAL",,LUXEMBOURG,,Luxembourg,L-2449,352 26 73 20 22,,0,,,,,,,ERA - Active,5/31/2019,,3/31/2022,Oct-21,,Y,N,N,,,N,Y,N,Other (specify),SOCIÉTÉ ANONYME,DECEMBER,,Luxembourg,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
BRO,310136,802-119733,ERA,CATCH POINT RIGHTS PARTNERS LP,CATCH POINT RIGHTS PARTNERS LP,177 HUNTINGTON AVE,SUITE 1703,BOSTON,MA,United States,2115,212-971-9760,,6,,,,,,,ERA - Active,10/5/2020,,5/19/2022,Oct-21,https://www.catchpointrights.com/,N,N,N,,,N,Y,N,Limited Partnership,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,284296,802-107991,ERA,AZLIN CONSULTANTS PVT. LTD.,AZLIN CONSULTANTS PVT. LTD.,"C-2 BLUE HEAVEN, OPPOSITE MEGHALAY FLATS",NARANPURA,AHMEDABAD,,India,380014,+91 98200 79414,,1,,,,,,,ERA - Active,6/13/2016,,6/22/2021,Mar-20,,N,N,N,,213800RTF9DJSPK5QG50,N,Y,N,Corporation,,MARCH,,India,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
LARO,161930,802-75016,ERA,"AVALON VENTURES MANAGEMENT, LLC","AVALON VENTURES MANAGEMENT, LLC",1134 KLINE STREET,,LA JOLLA,CA,United States,92037,858-348-2180,858-348-2183,0,,,,,,,ERA - Active,3/27/2012,,3/29/2022,Oct-21,HTTP://WWW.AVALON-VENTURES.COM,N,N,N,,,Y,N,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
SFRO,162461,802-75167,ERA,DRAPER FISHER JURVETSON,"DFJ MANAGEMENT, LLC",2882 SAND HILL ROAD,SUITE 150,MENLO PARK,CA,United States,94025,650-233-9000,650-233-9233,0,,,,,,,ERA - Active,3/28/2012,,5/20/2022,Oct-21,HTTP://WWW.DFJ.COM,N,N,N,,,Y,N,N,Limited Liability Company,,DECEMBER,CA,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
SFRO,289165,802-111076,ERA,KUOS INVESTMENT II LLC,KUOS INVESTMENT II LLC,950 TOWER LN,SUITE 2100,FOSTER CITY,CA,United States,94404,415-601-8079,,0,,,,,,,ERA - Active,8/1/2017,,3/31/2022,Oct-21,http://www.uphonestcapital.com,N,N,N,,,Y,N,N,Limited Liability Company,,DECEMBER,CA,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MIRO,309009,802-118845,ERA,"TENEO CAPITAL MANAGEMENT, LLC","TENEO CAPITAL MANAGEMENT, LLC",1253 OLD OKEECHOBEE RD.,UNIT A4,WEST PALM BEACH,FL,United States,33401,561-779-3260,,0,,,,,,,ERA - Active,5/4/2020,,3/1/2022,Oct-21,,N,N,N,,,N,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
NYRO,319399,802-124835,ERA,VIEWPOINT VENTURES,VIEWPOINT VENTURES MANAGEMENT LLC,"900 BROADWAY, SUITE 905",,NEW YORK,NY,United States,10003,833-787-6468,,0,,,,,,,ERA - Active,3/30/2022,,5/3/2022,Oct-21,https://viewpoint.vc/,N,N,N,,,Y,N,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,316487,802-122615,ERA,ALL SEAS CAPITAL,ALL SEAS CAPITAL PARTNERS LTD,NOVA NORTH,11 BRESSENDEN PLACE,LONDON,,United Kingdom,SW1E 5BY,+44 20 7770 8100,,0,THE SHARD LEVEL 14,32 LONDON BRIDGE STREET,LONDON,,United Kingdom,SE1 9SG,ERA - Active,10/4/2021,,2/10/2022,Oct-21,https://www.allseascapital.com/,Y,N,N,,,N,Y,N,Corporation,,DECEMBER,,United Kingdom,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FWRO,283699,802-107916,ERA,"NEXT COAST VENTURES, LLC","NEXT COAST VENTURES, LLC",1204 NUECES STREET,,AUSTIN,TX,United States,78701,(512) 640-9690,,0,,,,,,,ERA - Active,5/26/2016,,3/29/2022,Oct-21,HTTP://WWW.NEXTCOASTVENTURES.COM,N,N,N,,,N,N,Y,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,161092,802-75731,ERA,DRAPER ESPRIT PLC,ESPRIT CAPITAL PARTNERS LLP,20 GARRICK STREET,,LONDON,,United Kingdom,WC2E 9BT,+44 (0) 207 931 8800,,1,,,,,,,ERA - Active,3/30/2012,,8/31/2021,Mar-20,HTTP://WWW.DRAPERESPRIT.COM,Y,N,N,,OC318087,Y,N,N,Limited Liability Partnership,,MARCH,,United Kingdom,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
NYRO,298061,802-124823,ERA,ZZG CAPITAL LLC,ZZG CAPITAL LLC,,,,,,,646-369-9601,,0,,,,,,,ERA - Active,3/30/2022,,3/30/2022,Oct-21,,N,N,N,,,Y,N,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,297626,802-113903,ERA,TEAM8,TEAM8 LABS LTD.,TOTZERET HAARETZ 7,,TEL-AVIV,,Israel,6789104,+972 73 331 8066,,0,488 MADISON AVE,,NEW YORK,NY,United States,10022,ERA - Active,7/27/2018,,3/24/2022,Oct-21,HTTPS://WWW.TEAM8.VC,N,N,N,,,Y,N,N,Other (specify),ISRAELI COMPANY,DECEMBER,,Israel,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MIRO,299534,802-114419,ERA,BKCOIN MANAGEMENT LLC,"BKCOIN MANAGEMENT, LLC",1101 BRICKELL AVE SOUTH TOWER #8,,MIAMI,FL,United States,33131,786-623-4656,,0,,,,,,,ERA - Active,11/9/2018,,3/29/2022,Oct-21,https://www.bkcoincapital.com,N,N,N,,,N,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
NYRO,298029,802-114455,ERA,ACP VENTURE CAPITAL MANAGEMENT FUND LLC,ACP VENTURE CAPITAL MANAGEMENT FUND LLC,205 OSER AVENUE,,HAUPPAUGE,NY,United States,11788,631-851-0918,,0,,,,,,,ERA - Active,11/16/2018,,3/29/2022,Oct-21,,N,N,N,,,N,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
ARO,304140,802-117349,ERA,"LEVEL 5 CAPITAL PARTNERS, LLC","LEVEL 5 CAPITAL PARTNERS, LLC",112 KROG ST. NE,SUITE 17,ATLANTA,GA,United States,30307,(773) 590-0621,,0,,,,,,,ERA - Active,8/16/2019,,3/31/2022,Oct-21,http://www.lfivecapital.com/,N,N,N,,,N,N,Y,Limited Liability Company,,DECEMBER,GA,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
SFRO,160964,802-74491,ERA,"PALOMAR VENTURES MANAGEMENT, LLC","PALOMAR VENTURES MANAGEMENT, LLC",,,,,,,424-238-5289,,0,,,,,,,ERA - Active,3/1/2012,,3/30/2021,Mar-20,HTTP://WWW.PALOMARVENTURES.COM,N,N,N,,,Y,N,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
NYRO,160515,802-74576,ERA,RATIONALWAVE ASSOCIATES CORP.,RATIONALWAVE ASSOCIATES CORP.,108 ARDSLEY ROAD,,SCARSDALE,NY,United States,10583-3629,914-584-5400,,0,,,,,,,ERA - Active,3/12/2012,,3/31/2022,Oct-21,http://www.rationalwave.vc,N,N,N,,,N,Y,N,Corporation,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,321232,802-125837,ERA,GOLDEN PINE ASSET MANAGEMENT LIMITED,GOLDEN PINE ASSET MANAGEMENT LIMITED,"UNIT 1616, 16/F, NEXXUS BUILDING","41 CONNAUGHT ROAD, CENTRAL",HONG KONG,,Hong Kong,,+852 3750 7540,,0,,,,,,,ERA - Active,5/9/2022,,5/9/2022,Oct-21,https://www.goldenpineinv.com/,Y,N,N,,2549002T2O01YNVY0M88,N,Y,N,Other (specify),HONG KONG LIMITED COMPANY,DECEMBER,,Hong Kong,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,287923,802-110452,ERA,EM-ES FUND MANAGEMENT LTD.,EM-ES FUND MANAGEMENT LTD.,SEA MEADOW HOUSE,BLACKBURNE HIGHWAY,"ROAD TOWN, TORTOLA",,British Virgin Islands,VG 1110,12844943399,1.28445E+11,0,,,,,,,ERA - Active,4/13/2017,,3/31/2022,Oct-21,https://www.emesfunds.com/,Y,N,N,,,N,Y,N,Corporation,,DECEMBER,,British Virgin Islands,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,283689,802-107766,ERA,IK INVESTMENT PARTNERS AIFM,IK INVESTMENT PARTNERS AIFM,"20, BOULEVARD ROYAL",,LUXEMBOURG,,Luxembourg,2449,+352 271 72600,,0,,,,,,,ERA - Active,4/25/2016,,3/8/2022,Oct-21,HTTPS://WWW.IKPARTNERS.COM,Y,N,N,,2221005JNLYXCP7B7U41,N,Y,N,Corporation,,DECEMBER,,Luxembourg,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
NYRO,289087,802-110962,ERA,"WORK-BENCH MANAGEMENT, LLC","WORK-BENCH MANAGEMENT, LLC",18 W. 18TH STREET,6TH FLOOR,NEW YORK,NY,United States,10011,(732) 807-5083,,0,,,,,,,ERA - Active,6/30/2017,,3/24/2022,Oct-21,HTTPS://WWW.WORK-BENCH.COM,N,N,N,,,Y,N,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,160900,802-74930,ERA,GROWTH CAPITAL PARTNERS,GROWTH CAPITAL PARTNERS LLP,38 JERMYN STREET,SUITE 1A,LONDON,,United Kingdom,SW1Y 6DN,44 207 024 9800,44 207 691 7878,0,,,,,,,ERA - Active,3/27/2012,,7/22/2021,Mar-20,HTTPS://WWW.GROWTHCAPITAL.CO.UK,Y,N,N,,,N,Y,N,Limited Liability Partnership,,MARCH,,United Kingdom,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FWRO,308938,802-118979,ERA,"RIVERWALK CAPITAL III, LLC","RIVERWALK CAPITAL III, LLC",110 EAST HOUSTON STREET,7TH FLOOR,SAN ANTONIO,TX,United States,78205,210-865-3782,,0,,,,,,,ERA - Active,5/27/2020,,4/6/2022,Oct-21,https://geekdomfund.com/,N,N,N,,,Y,N,N,Limited Liability Company,,DECEMBER,TX,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,315256,802-121779,ERA,Y2 CAPITAL PARTNERS LIMITED,Y2 CAPITAL PARTNERS LIMITED,"SUITE 2820, AIA CENTRAL","NO. 1 CONNAUGHT ROAD CENTRAL, CENTRAL",HONG KONG,,Hong Kong,,+852 3651 6174,,0,,,,,,,ERA - Active,6/17/2021,,3/7/2022,Oct-21,https://www.y2cap.com,Y,N,N,,213800GUWWA1HB4SEZ34,N,Y,N,Other (specify),HONG KONG LIMITED COMPANY,DECEMBER,,Hong Kong,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
